"path","class","extension","size_mb","width","height","has_meta","texture_type","srgb","mipmaps","streaming_mips"
"Assets/_Project/Art/TEXTURES/Sky/clod1.png","sky_aegir_cloud","png","6.086","2048","2048","True","0","1","1","1"
"Assets/_Project/Art/TEXTURES/Sky/clod2.png","sky_aegir_cloud","png","5.272","2048","2048","True","0","1","1","1"
"Assets/_Project/Art/TEXTURES/Sky/eb2.png","sky_aegir_cloud","png","8.789","2048","2048","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/Sky/oblaka!.png","sky_aegir_cloud","png","5.078","2048","2048","True","0","1","1","1"
"Assets/_Project/Art/TEXTURES/Sky/oblakajip.png","sky_aegir_cloud","png","5.562","2048","2048","True","0","1","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/2rock/Rocks007_1K-JPG_AmbientOcclusion.jpg","terrain_geology","jpg","0.685","1024","1024","True","0","0","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/2rock/Rocks007_1K-JPG_Color.jpg","terrain_geology","jpg","1.178","1024","1024","True","0","1","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/2rock/Rocks007_1K-JPG_NormalGL.jpg","terrain_geology","jpg","2.208","1024","1024","True","1","0","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/basalt/Rock031_1K-JPG_Color.jpg","terrain_geology","jpg","1.172","1024","1024","True","0","1","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/basalt/Rock031_1K-JPG_NormalGL.jpg","terrain_geology","jpg","2.438","1024","1024","True","1","0","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/basalt/TX_H8_WetBasaltShoreline_Albedo_1428.png","terrain_geology","png","2.931","1024","1024","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/Terrain Textures/gravel/Gravel020_1K-JPG_AmbientOcclusion.jpg","terrain_geology","jpg","0.621","1024","1024","True","0","0","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/gravel/Gravel020_1K-JPG_Color.jpg","terrain_geology","jpg","0.956","1024","1024","True","0","1","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/gravel/Gravel020_1K-JPG_NormalGL.jpg","terrain_geology","jpg","2.209","1024","1024","True","1","0","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/moss/Ground047_1K-JPG_AmbientOcclusion.jpg","terrain_geology","jpg","0.839","1024","1024","True","0","0","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/moss/Ground047_1K-JPG_Color.jpg","terrain_geology","jpg","1.489","1024","1024","True","0","1","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/moss/Ground047_1K-JPG_NormalGL.jpg","terrain_geology","jpg","2.235","1024","1024","True","1","0","1","1"
"Assets/_Project/Art/TEXTURES/Terrain Textures/mud/Ground051_1K-JPG_AmbientOcclusion.jpg","terrain_geology","jpg","0.498","1024","1024","True","0","0","1","1"
