"path","class","extension","size_mb","duration_sec","has_meta","load_type","compression_format","quality","sample_rate_setting"
"Assets/_Project/Audio/Music for Game/shelf_5_Abandoned Subfloor Rumble (1).ogg","music","ogg","2.511","217.12","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/shelf_6_Decaying Analog Static.ogg","music","ogg","2.168","187.48","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/shelf_7_Decaying Analog Static.ogg","music","ogg","3.31","285.76","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/shelf_8_Deep-Sea Tapeflutter.ogg","music","ogg","2.892","250.12","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/shelf_9_Deep-Sea Tapeflutter (1).ogg","music","ogg","3.003","259.76","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/stinger_being_saved_1Release_At_Depth.ogg","music","ogg","0.303","26.88","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/stinger_being_saved_2_Pressure_Gives_Way.ogg","music","ogg","0.3","26.436","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/stinger_being_saved_3_First_Breath_Above.ogg","music","ogg","0.3","26.567","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/stinger_dangerous_1_Iron_Teeth.ogg","music","ogg","0.351","30.093","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/stinger_dangerous_2Heartbeat_Under_Floorboards.ogg","music","ogg","0.36","30.772","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/stinger_discovery_1_The_Sunken_Gate.ogg","music","ogg","0.359","30.772","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/stinger_discovery_2_The_Sunken_Archive.ogg","music","ogg","0.359","30.772","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/stinger_discovery_3_The_Sunken_Observatory.ogg","music","ogg","0.359","30.772","True","2","1","0.7","0"
