frame,entity,flags,aup_x,aup_y,aup_z,vel_x,vel_y,vel_z,sdf_m,speed_mps,hash
12,20,2,98983.182,-1507.843,98990.658,-7.151,97.341,-382.549,-0.401,394.804,2697037289
12,24,2,98999.023,-1490.660,98985.219,229.370,4.451,-169.513,-0.315,285.245,2308691334
12,25,2,99005.253,-1506.151,98983.844,46.728,96.722,-326.127,-0.672,343.362,653779624
12,44,2,99006.576,-1486.140,99005.276,291.145,64.457,305.381,-0.859,426.823,3626023217
12,54,2,99000.667,-1489.618,99009.997,335.341,34.304,222.774,-0.646,404.053,1059079792
12,75,2,99003.393,-1506.987,99013.207,216.585,-22.131,292.293,-0.641,364.463,2664882035
13,20,2,98983.169,-1507.840,98990.651,-8.649,93.840,-365.353,-0.385,377.311,252184135
13,24,2,98999.023,-1490.659,98985.216,215.190,2.472,-168.283,-0.312,273.189,2056047747
13,25,2,99005.257,-1506.149,98983.835,43.560,91.850,-323.217,-0.661,338.826,23639952
13,44,2,99006.582,-1486.138,99005.281,286.388,61.482,305.465,-0.851,423.211,4033672669
13,54,2,99000.670,-1489.616,99010.007,313.907,35.731,223.589,-0.635,387.048,1825244276
13,75,2,99003.401,-1506.982,99013.228,204.099,-22.256,283.822,-0.618,350.295,2890763888
14,20,2,98983.159,-1507.837,98990.646,-11.366,90.346,-350.123,-0.373,361.770,3219959683
14,24,2,98999.023,-1490.659,98985.215,203.298,0.388,-168.455,-0.311,264.021,688407329
14,25,2,99005.260,-1506.147,98983.828,42.393,86.870,-320.913,-0.653,335.155,2064407901
14,44,2,99006.587,-1486.136,99005.285,284.067,58.887,303.999,-0.844,420.210,847152206
14,54,2,99000.673,-1489.614,99010.017,293.285,37.079,224.349,-0.624,371.111,694751181
14,75,2,99003.406,-1506.979,99013.242,194.011,-22.655,278.859,-0.603,340.464,2011996023
15,20,2,98983.153,-1507.836,98990.643,-15.256,86.799,-337.143,-0.366,348.471,2376453685
15,25,2,99005.262,-1506.146,98983.823,43.525,81.818,-318.165,-0.647,331.387,3909285708
15,44,2,99006.592,-1486.135,99005.289,283.866,56.662,300.412,-0.838,417.179,293143178
15,54,2,99000.676,-1489.612,99010.028,273.296,38.456,224.919,-0.612,356.031,2926127719
15,75,2,99003.409,-1506.977,99013.249,186.438,-23.307,277.241,-0.595,334.910,499776573
16,20,2,98983.151,-1507.835,98990.642,-20.116,83.141,-326.849,-0.364,337.857,1673914242
16,25,2,99005.265,-1506.144,98983.816,47.014,76.803,-313.819,-0.639,326.484,3495477871
16,44,2,99006.597,-1486.133,99005.293,285.410,54.794,294.380,-0.831,413.668,3991174417
16,54,2,99000.678,-1489.610,99010.038,253.759,39.950,225.134,-0.601,341.577,3675903956
16,75,2,99003.409,-1506.977,99013.250,181.419,-24.193,278.560,-0.594,333.308,649587713
17,25,2,99005.268,-1506.142,98983.809,52.715,71.849,-307.309,-0.631,319.969,685732527
17,44,2,99006.603,-1486.131,99005.298,288.269,53.272,285.838,-0.823,409.439,1912102591
