Name,RA,Dec,Dist,AppMagn,SpecClass,MassSol,RadSol,Temperature
HIP 15468/HD 20526,3.32426275,36.8763071,304.878056,7.93750017,K0V,,,
HIP 15740/HD 278497,3.38001176,37.019724,299.401209,9.21874994,F8V,,,
HIP 20133/HD 27144,4.31691511,41.5411508,418.410064,8.15625132,K2V,,,
HIP 20247/HD 27294,4.33862621,41.4245125,408.163261,8.13671951,A0V,,,
HIP 20750,4.44661386,44.2574643,418.410011,10.3085945,A2V,,,
HIP 21175/HD 276481,4.53959773,43.7212872,416.666598,9.3398433,B8V,,,
HIP 21546,4.62649594,44.607926,398.406378,9.38671926,K0V,,,
HIP 22452,4.83150001,41.7324113,396.825392,9.27734472,A0V,,,
HIP 23375/HD 31894,5.02619279,43.4357386,420.168069,8.47656322,B2IV,,,
HIP 20235/HD 27308,4.33667241,37.2007358,374.531839,7.9062505,M5V,,,
HIP 21469/HD 29096,4.61086899,41.0768636,374.531826,7.94921912,A2V,,,
HIP 22673/HD 277012,4.87646963,41.7850498,374.531844,8.39843807,K0V,,,
HIP 23110/HD 31536,4.97271913,38.7267549,374.531824,8.89843785,A2V,,,
HIP 19101/HD 25582,4.09473716,45.6225614,404.858287,8.8164069,A2V,,,
HIP 19323/HD 25930,4.14160898,46.6906697,401.606436,8.7890636,K2V,,,
HIP 20683/HD 27846,4.43055803,46.2338659,383.141795,8.09765632,B1V,,,
HIP 21413/HD 28943,4.59576282,45.2145836,375.939808,7.35937524,K5V,,,
HIP 22193/HD 30015,4.77400259,51.0960926,384.615403,8.04687514,K2V,,,
HIP 17781/HD 23624,3.80626744,42.8810788,370.370358,7.38671893,B8V,,,
HIP 18162/HD 24204,3.88304166,42.2738702,387.596915,8.81640728,K0V,,,
HIP 18421/HD 275921,3.93848386,40.8622602,361.010851,10.1093755,F8V,,,
HIP 18674/HD 275972,3.99877533,40.9055308,383.141788,9.23828107,K0V,,,
HIP 18710,4.00760034,42.3488218,387.596941,9.14843877,B8V,,,
