Path,SizeMB,LoadType,CompressionFormat,Quality,SampleRateSetting,SampleRateOverride,ForceToMono,Flags
"Assets/_Project/Audio/Music for Game/stinger_discovery_3_The_Sunken_Observatory.ogg",0.359,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/stinger_discovery_4_The_Sunken_Observatory.ogg",0.359,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/stinger_discovery_5_The_Sunken_Relic.ogg",0.359,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/stinger_hallucination_1_Beneath_the_Tide.ogg",0.359,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/wam_base_lofi_11_Beneath_The_Iron_Hull.ogg",2.030,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/warm_base_lofi_1_Muffled Underwater Hum.ogg",1.781,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/warm_base_lofi_2_Muffled Underwater Hum (1).ogg",3.061,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/warm_base_lofi_3_Underwater Hum.ogg",1.228,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/warm_base_lofi_4_Underwater Hum (1).ogg",1.133,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/warm_base_lofi_5_Iron_Hull_Lullaby.ogg",1.553,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/warm_base_lofi_6_Vinyl Warmth Echo.ogg",1.493,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/warm_base_lofi_7_Vinyl Warmth Echo (1).ogg",2.206,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/warm_base_lofi_8_Vinyl Crackle.ogg",2.061,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/warm_base_lofi_9_Vinyl Crackle (1).ogg",2.022,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/warm_base_lofi_10_chill_Midnight_at_the_Pressure_Gate.ogg",2.025,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/SFX/bubble sound (1).wav",0.128,"CompressedInMemory","ADPCM",0.600,"OverrideSampleRate",22050,True,""
"Assets/_Project/Audio/SFX/bubble sound (2).wav",0.128,"CompressedInMemory","ADPCM",0.600,"OverrideSampleRate",22050,True,""
"Assets/_Project/Audio/SFX/bubble sound (3).wav",0.170,"CompressedInMemory","ADPCM",0.600,"OverrideSampleRate",22050,True,""
"Assets/_Project/Audio/SFX/bubble sound (4).wav",0.170,"CompressedInMemory","ADPCM",0.600,"OverrideSampleRate",22050,True,""
"Assets/_Project/Audio/SFX/water energe  - bulb.wav",0.226,"CompressedInMemory","ADPCM",0.600,"OverrideSampleRate",22050,True,""
"Assets/_Project/Audio/Thruster/servo_motor.wav",0.300,"DecompressOnLoad","Vorbis",0.650,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Thruster/thrust continous.wav",0.037,"DecompressOnLoad","Vorbis",0.640,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/UI/blow ui sound (notif or option).mp3",0.010,"DecompressOnLoad","ADPCM",1.000,"OverrideSampleRate",22050,True,""
"Assets/_Project/Audio/UI/click sound.wav",0.029,"DecompressOnLoad","ADPCM",1.000,"OverrideSampleRate",22050,True,""
"Assets/_Project/Audio/UI/electro (nope) sound.flac",0.060,"DecompressOnLoad","ADPCM",1.000,"OverrideSampleRate",22050,True,""
"Assets/_Project/Audio/UI/open - tap - ui.wav",0.254,"DecompressOnLoad","ADPCM",1.000,"OverrideSampleRate",22050,True,""
"Assets/_Project/Audio/UI/ui - reverb sound.wav",0.491,"DecompressOnLoad","ADPCM",1.000,"OverrideSampleRate",22050,True,""
"Assets/_Project/Audio/Underwater Ambient.wav",32.468,"CompressedInMemory","PCM",1.000,"PreserveSampleRate",0,False,"AMBIENCE_EXPECT_VORBIS"
"Assets/_Project/Audio/VO/Stubs/VOStub_Chen_Log01_EN.wav",0.491,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/VO/Stubs/VOStub_Chen_Log01_RU.wav",0.491,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/Demo/_Common/Sounds/NiceVibrationsContinuous.wav",0.013,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/Demo/_Common/Sounds/NiceVibrationsEmphasis.wav",0.004,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/CarDemo/Sounds/NVCarEngine.wav",0.673,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Sounds/NVCarillon.wav",0.430,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Sounds/NVDice.wav",0.162,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Sounds/NVDrumsLoop.wav",0.147,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,""
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Sounds/NVGameOver.wav",0.349,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Sounds/NVHeartbeats.wav",0.303,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Sounds/NVLaser.wav",0.395,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Sounds/NVPowerOff.wav",0.708,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Sounds/NVReload.wav",0.502,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Sounds/NVTeleport.wav",0.045,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/WobbleDemo/Sounds/NVWobbleSpring.wav",0.289,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Alert1.wav",0.338,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Award1.wav",0.080,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Beep1.wav",0.031,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Beep2.wav",0.017,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Beep3.wav",0.017,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Button1.wav",0.009,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Button2.wav",0.007,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
