Path,Shader,RenderQueue,KeywordCount,Keywords,Flags
"Assets/_Project/Art/Materials/red.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Resources/Mat_Resource_Copper.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Resources/Mat_Resource_Fiber.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Resources/Mat_Resource_Membrane.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Resources/Mat_Resource_Resin.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Resources/Mat_Resource_Scrap.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Resources/Mat_Resource_Silica.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Resources/Mat_Resource_Silver.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Resources/Mat_Resource_Sulfur.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Sand.mat","Universal Render Pipeline/Lit",2000,1,"_EMISSION",""
"Assets/_Project/Art/Materials/Skybox.mat","Skybox/6 Sided",1000,0,"",""
"Assets/_Project/Art/Materials/Snow.mat","Universal Render Pipeline/Lit",2000,1,"_EMISSION",""
"Assets/_Project/Art/Materials/terrain 1.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/terrain 2.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/terrain.mat","Hidden/InternalErrorShader",2000,0,"",""
"Assets/_Project/Art/Materials/Tools/Mat_Tool_BeaconDeployer_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Tools/Mat_Tool_Builder_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Tools/Mat_Tool_EnvAnalyzer_Placeholder.mat","Universal Render Pipeline/Lit",2000,0,"",""
