"Path","AssetKind","AnimationCompression","RotationError","PositionError","ScaleError","Flags"
"Assets/ScifiFacility/Models/props/details/controlpanels/controlpanel_16.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/controlpanels/controlpanel_17.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/pipes/detail_05_e01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/pipes/detail_05_e02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/pipes/detail_05_e03.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/pipes/detail_05_e04.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/technical/detail_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/technical/detail_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/technical/detail_03.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/technical/detail_03_a.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/technical/detail_03_b.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/technical/detail_04.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/technical/detail_04_a.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/technical/detail_04_b.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/technical/detail_04_c.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/technical/detail_04_d.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/technical/detail_04_e.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/technical/detail_04_f.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/technical/detail_04_g.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/technical/detail_05_a.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/technical/detail_05_b.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/technical/detail_05_c.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/technical/detail_05_d.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/lights/light_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/lights/light_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/lights/light_03.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/lights/light_04.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/lights/light_05.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/lights/light_06.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/lights/light_07.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/lights/light_08.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/lights/light_09.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/lights/warningLight.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/server_racks/server_rack_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/server_racks/server_rack_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/server_racks/server_rack_03.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/tubes/tube_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/tubes/tube_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/tubes/tube_03.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/tubes/tube_cap_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/tubes/tube_cap_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/box_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/keyboard.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/keyboard_b.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/monitor.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_03.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_04.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_04_b.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_04_c.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_05.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_06.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_07.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_08.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_09.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_10.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_10_base.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_11.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_11_base.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_12_a.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_12_b.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_13.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_14.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/prop_15.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/ceiling/ceiling_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/ceiling/ceiling_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/ceiling/ceiling_03.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/ceiling/ceiling_04.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/ceiling/ceiling_05.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/ceiling/ceiling_06.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/ceiling/ceiling_07.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/ceiling/ceiling_08.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/ceiling/ceiling_09.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/ceiling/ceiling_09_connector.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/ceiling/ceiling_11.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/ceiling/ceiling_12.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/duct_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/duct_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/duct_03.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_01_4x4.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/floor/floor/floor_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
